  Disciplina,         Nome da disciplina,            Professor,Créd,Trm,Destino,Vag,Turno,Horário/ Unidade,Hr Dist.,SHF,Pré-Req,Depto
INF1005,PROGRAMACAO I,CAROLINA DE LIMA AGUILAR,4,33A,QQC,40,I,"TER 07-09  / GAVEA 
QUI 07-09  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,PAULA YPIRANGA DOS GUARANYS,4,33B,QQC,35,I,"TER 09-11  / BARRA 
QUI 09-11  / BARRA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,CLAUDIA FERLIN,4,33C,QQC,40,I,"TER 07-09  / GAVEA 
QUI 07-09  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,CAROLINA DE LIMA AGUILAR,4,33D,QQC,40,I,"TER 09-11  / GAVEA 
QUI 09-11  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,CLAUDIA FERLIN,4,33E,QQC,40,I,"TER 09-11  / GAVEA 
QUI 09-11  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,GUSTAVO COSTA GOMES MOREIRA,4,33F,QQC,40,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,JOSE CARLOS RAMALHO MOREIRA,4,33H,QQC,40,I,"TER 11-13  / GAVEA 
QUI 11-13  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,CAROLINA DE LIMA AGUILAR,4,33I,QQC,40,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,SERGIO COLCHER,4,33J,QQC,40,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,LUIZ FERNANDO BESSA SEIBEL,4,33K,QQC,40,I,"TER 11-13  / GAVEA 
QUI 11-13  / GAVEA",0,0,NÃO,UCB
INF1005,PROGRAMACAO I,LUIZ FERNANDO GOMES SOARES,4,33M,QQC,40,I,"TER 11-13  / GAVEA 
QUI 11-13  / GAVEA",0,0,NÃO,UCB
INF1007,PROGRAMACAO II,IVAN MATHIAS FILHO,4,33B,QQC,40,I,"SEG 07-09  / GAVEA 
QUA 07-09  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,PAULA YPIRANGA DOS GUARANYS,4,33C,QQC,40,I,"SEG 09-11  / GAVEA 
QUA 09-11  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,CLAUDIA FERLIN,4,33D,QQC,40,I,"SEG 09-11  / GAVEA 
QUA 09-11  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,ROGERIO FERREIRA RODRIGUES,4,33E,QQC,40,I,"SEG 07-09  / GAVEA 
QUA 07-09  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,JOISA DE SOUZA OLIVEIRA,4,33F,QQC,40,I,"SEG 11-13  / GAVEA 
QUA 11-13  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,JOISA DE SOUZA OLIVEIRA,4,33G,QQC,40,I,"SEG 13-15  / GAVEA 
QUA 13-15  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,PAULA YPIRANGA DOS GUARANYS,4,33H,QQC,40,I,"SEG 13-15  / GAVEA 
QUA 13-15  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,JOISA DE SOUZA OLIVEIRA,4,33I,QQC,40,I,"SEG 15-17  / GAVEA 
QUA 15-17  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,ALBERTO BARBOSA RAPOSO,4,33J,QQC,40,I,"SEG 15-17  / GAVEA 
QUA 15-17  / GAVEA",0,0,SIM,UCB
INF1007,PROGRAMACAO II,BERNARDO PEREIRA NUNES,4,33N,QQC,35,I,"SEG 13-15  / BARRA 
QUA 13-15  / BARRA",0,0,SIM,UCB
INF1008,INTROD ARQ DE COMPUTADORES,LUIZ FERNANDO BESSA SEIBEL,2,3WB,CCI,2,I,SEX 15-17  / GAVEA,0,0,NÃO,INF
INF1008,INTROD ARQ DE COMPUTADORES,LUIZ FERNANDO BESSA SEIBEL,2,3WB,QQC,28,I,SEX 15-17  / GAVEA,0,0,NÃO,INF
INF1009,LOGICA PARA COMPUTACAO,HORISTA A CONTRATAR,4,3WB,QQC,40,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,NÃO,INF
INF1010,ESTRUTURAS DE DADOS AVANCADAS,MARCO ANTONIO CASANOVA,4,3WA,QQC,30,I,"SEG 15-17  / GAVEA 
QUA 15-17  / GAVEA",0,0,SIM,INF
INF1010,ESTRUTURAS DE DADOS AVANCADAS,TEMPO CONTINUO A DEFINIR,4,3WB,QQC,30,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,2,3WA,QQC,30,I,SEX 09-11  / GAVEA,0,0,NÃO,INF
INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,2,3WB,QQC,30,I,SEX 13-15  / GAVEA,0,0,NÃO,INF
INF1013,MODELAGEM DE SOFTWARE,IVAN MATHIAS FILHO,4,3WA,QQC,30,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
