matrícula,período,disciplina,créditos,turma,grau,sit.final,professor
0612907,20061,AZB1132,2,QGI,7.3,AP,Jennifer Franklin
0612907,20061,KFS1369,4,SCP,7.2,AP,Jocelyn Gutierrez
0612907,20061,GNR1825,2,SCP,6.8,AP,Billy Pratt
0612907,20061,WRC1627,4,QGI,,CA,Elijah Listiadji
0612907,20061,WWW1814,5,QGI,,CA,Sierra Roach
0612907,20061,HXZ1743,2,QGI,,CA,Jade Quiroga
0612907,20061,LMF1735,5,SCP,5,AP,James Huynh
0612907,20061,HBF1988,4,QGI,10,AP,Alexandra Williams
0612907,20062,QNI1752,4,NLS,,CL,Nicole Dailey
0612907,20062,UAM1180,3,UFI,0,RF,Sylvana Vela
0612907,20062,XFW1558,4,YZA,3.3,RM,Elijah Listiadji
0612907,20062,ODX1244,2,UPY,5.3,AP,Joanne Stewart III
0612907,20062,WJB1342,4,UPY,7.9,AP,Brooke Gilbert
0612907,20062,XMM1516,2,ANB,8,AP,Jeremiah Park
0612907,20062,KSK1537,4,BFR,,CL,Kingahnah Chaudhry
0612907,20062,AKJ1977,4,AIU,,CL,Stephanie Hughes
0612907,20071,XFW1558,4,YZA,2.6,RM,Valerie Ford
0612907,20071,ECS1920,4,SCP,1,RM,Madison Bear
0612907,20071,AKJ1977,4,UFI,2.9,RM,Roman Asakawa
0612907,20071,DWU1433,4,CBJ,,CJ,Dashick Garcia
0612907,20072,QNI1752,4,QGN,10,AP,Rebecca Brown
0612907,20072,XFW1558,4,XOG,,CL,Jeong Min Gallegos
0612907,20072,ECS1920,4,UPY,7.8,AP,Jamie Arellanes
0612907,20072,AKJ1977,4,UPY,1.2,RM,Roman Asakawa
0612907,20081,HOW1491,2,CLF,8.5,AP,Janet Mayo
0612907,20081,HCV1283,4,IAG,5,AP,Sydnei Chavez
0612907,20081,RXL1676,4,IAG,7.7,AP,Angel Ramirez-Ramirez
0612907,20081,YON1382,6,IAG,,CD,Ahmed Hoang
0612907,20081,TBP1888,4,IAG,6.2,AP,Ahmed Hoang
0612907,20081,PBJ1031,4,VNU,5.7,AP,Kokenia Zapata Figueroa
0612907,20082,GUO1361,2,IAG,5.1,AP,Ahmed Hoang
0612907,20082,GOZ1785,4,IAG,5.1,AP,Cody Robinson
0612907,20082,OGJ1002,4,IAG,6.6,AP,Jordan Carrillo Aguirre
0612907,20082,AHR1808,4,IAG,7.6,AP,Brooke Gilbert
0612907,20082,PRA1665,4,IAG,9,AP,Manuel Tat
0612907,20082,ZAB1614,4,IAG,6.4,AP,Alejandro Pan
0612907,20091,VRY1444,4,SPM,9,AP,Danielle Macias
0612907,20091,FTT1655,4,IAG,5.3,AP,Mariah Martinez
0612907,20091,EFJ1215,4,IAG,6.3,AP,Jenny Donnel
0612907,20091,AKJ1977,4,GGR,,CA,Vincent Ospina
0612907,20092,TBA1383,4,QXY,0.4,RM,Jacob Shepard
0612907,20092,LKZ1904,4,IAG,7.1,AP,Alexus Duron
0612907,20092,OUT1489,4,IAG,3.8,RM,Marina-Ashley Greene
0612907,20092,AGD1579,4,VWE,,CL,Kaylee Tracy
0612907,20092,HNV1490,4,VWE,8.7,AP,Collin Olguin
0612907,20092,LJU1802,4,DYN,,CD,Larice Ngo
0612907,20092,OBK1818,4,QFI,,CL,Lan Clark
0612907,20101,AOR1164,2,QBW,6.7,AP,Edwin Shea
0612907,20101,YLM1925,4,IAG,8,AP,Shianne Mcmillan
0612907,20101,GWN1997,4,IAG,8.2,AP,Manuel Tat
0612907,20101,SDS1297,4,IAG,,CD,Aidan Moua
