matrícula,período,disciplina,créditos,turma,grau,sit-final,professor
712240,20071,CTC1002,2,33P,7.3,AP,JOSE ALBERTO DOS REIS PARISE
712240,20071,FIS1031,4,33B,7.2,AP,ANTONIO CARLOS OLIVEIRA BRUNO
712240,20071,FIS1032,2,33B,6.8,AP,GERALDO MONTEIRO SIGAUD
712240,20071,FIS1100,4,33P,,CA,ISABEL CRISTINA DOS SANTOS CARVALHO
712240,20071,MAT1003,5,33P,,CA,LUIZ FERNANDO MARTINS CONRADO
712240,20071,MAT1010,2,33P,,CA,WILSON REIS DE SOUZA NETO
712240,20071,MAT1151,5,33B,5,AP,PAUL ALEXANDER SCHWEITZER
712240,20071,MEC1400,4,33P,10,AP,JOSE LUIS MENEGOTTO
712240,20072,CRE1100,4,7TE,,CL,MARIVANI DE OLIVEIRA DE A PEREIRA
712240,20072,CTC1993,3,33V,0,RF,MAURO SPERANZA NETO
712240,20072,FIS1041,4,33D,3.3,RM,ISABEL CRISTINA DOS SANTOS CARVALHO
712240,20072,FIS1042,2,33F,5.3,AP,CELIA BEATRIZ ANTENEODO DE PORTO
712240,20072,INF1001,4,33F,7.9,AP,SERGIO LIFSCHITZ
712240,20072,LET1920,2,13D,8,AP,ADRIANA GRAY DA SILVA REIS
712240,20072,MAT1152,4,33C,,CL,MARCELO ROBERTO B P L JIMENEZ
712240,20072,MAT1200,4,33A,,CL,LORENZO JUSTINIANO DIAZ CASADO
712240,20081,FIS1041,4,33D,2.6,RM,SONIA RENAUX WANDERLEY LOURO
712240,20081,INF1620,4,33B,1,RM,HUGO FUKS
712240,20081,MAT1200,4,33V,2.9,RM,MONICA MOREIRA BARROS
712240,20081,QUI1720,4,33T,,CJ,RICARDO QUEIROZ AUCELIO
712240,20082,CRE1100,4,7TH,10,AP,GLORIA MARIA TELES
712240,20082,FIS1041,4,33E,,CL,LUIZ COSTA DA SILVA
712240,20082,INF1620,4,33F,7.8,AP,LUCIANA DOS SANTOS LIMA
712240,20082,MAT1200,4,33F,1.2,RM,MONICA MOREIRA BARROS
712240,20091,INF1012,2,3WB,8.5,AP,ARES
712240,20091,INF1018,4,3WA,5,AP,NOEMI DE LA ROCQUE RODRIGUEZ
712240,20091,INF1301,4,3WA,7.7,AP,ALESSANDRO FABRICIO GARCIA
712240,20091,INF1315,6,3WA,,CD,LUIZ FERNANDO BESSA SEIBEL
712240,20091,INF1389,4,3WA,6.2,AP,LUIZ FERNANDO BESSA SEIBEL
712240,20091,INF1403,4,3WD,5.7,AP,ALBERTO BARBOSA RAPOSO
712240,20092,INF1008,2,3WA,5.1,AP,LUIZ FERNANDO BESSA SEIBEL
712240,20092,INF1009,4,3WA,5.1,AP,EDWARD HERMANN HAEUSLER
712240,20092,INF1019,4,3WA,6.6,AP,MARKUS ENDLER
712240,20092,INF1383,4,3WA,7.6,AP,SERGIO LIFSCHITZ
712240,20092,INF1629,4,3WA,9,AP,JULIO CESAR SAMPAIO DO PRADO LEITE
712240,20092,INF1631,4,3WA,6.4,AP,RUY LUIZ MILIDIU
712240,20101,CRE1127,4,7TJ,9,AP,PAULO ALVES ROMAO
712240,20101,INF1626,4,3WA,5.3,AP,GEIZA MARIA HAMAZAKI DA SILVA
712240,20101,INF1636,4,3WA,6.3,AP,RENATO FONTOURA DE GUSMAO CERQUEIRA
712240,20101,MAT1200,4,33Z,,CA,CRISTIANE PINHO GUEDES
712240,20102,FIL1000,4,1CA,0.4,RM,CURSO A DISTANCIA
712240,20102,INF1413,4,3WA,7.1,AP,ARNDT VON STAA
712240,20102,INF1721,4,3WA,3.8,RM,EDUARDO SANY LABER
712240,20102,INF1902,4,30A,,CL,SERGIO RICARDO YATES DOS SANTOS
712240,20102,INF1903,4,30A,8.7,AP,HELENE KLEINBERGER SALIM
712240,20102,LET1113,4,1DA,,CD,SILVIA BEATRIZ ALEXANDRA B COSTA
712240,20102,MAT1162,4,33I,,CL,MARCOS CRAIZER
712240,20111,CRE1141,2,7TS,6.7,AP,EVA APARECIDA REZENDE DE MORAES
712240,20111,INF1343,4,3WA,8,AP,EDMUNDO BASTOS TORREAO
712240,20111,INF1377,4,3WA,8.2,AP,JULIO CESAR SAMPAIO DO PRADO LEITE
712240,20111,INF1715,4,3WA,,CD,ROBERTO IERUSALIMSCHY
712240,20111,PSI1958,4,10A,8.6,AP,RAPHAEL SACCHI ZAREMBA
712240,20112,CRE1172,2,7TA,8.2,AP,JOAO ANTONIO SILVEIRA LINS SUCUPIRA
712240,20112,FIL1000,4,1CA,7,AP,LUIZ CARLOS PINHEIRO DIAS PEREIRA
712240,20112,INF1013,4,3WA,6.9,AP,ARES
712240,20112,INF1341,4,3WA,8.9,AP,ROGERIO LUIS DE CARVALHO COSTA
712240,20112,INF1414,4,3WA,9.3,AP,GUSTAVO ROBICHEZ DE CARVALHO
712240,20112,INF1721,4,3WB,5.1,AP,RAUL PIERRE RENTERIA
712240,20121,INF1902,4,30B,8,AP,SERGIO RICARDO YATES DOS SANTOS
712240,20121,LET1113,4,1DA,10,AP,LEONARDO BERENGER ALVES CARNEIRO
712240,20121,MAT1162,4,33A,,CL,RICARDO DE SA EARP
712240,20121,MAT1200,4,33V,2.1,RM,ANA CRISTINA BERNARDO DE OLIVEIRA
712240,20122,EMP1000,4,80A,0,RM,SERGIO RICARDO YATES DOS SANTOS
712240,20122,EMP1005,4,80A,8.4,AP,LEONARDO COSTA RANGEL
712240,20122,INF1016,4,3WA,0,RM,EDWARD HERMANN HAEUSLER
712240,20122,INF1771,4,3WA,3,RM,EDIRLEI EVERSON SOARES DE LIMA
712240,20131,EMP1000,4,80B,,AT,SERGIO RICARDO YATES DOS SANTOS
712240,20131,INF1021,4,3WA,,AT,FRANCIS BERENGER MACHADO
712240,20131,INF1023,4,3WA,,AT,FRANCIS BERENGER MACHADO
712240,20131,INF1407,4,3WA,,AT,ALEXANDRE MALHEIROS MESLIN
712240,20131,INF1408,4,3WA,,AT,EDMUNDO BASTOS TORREAO
712240,20131,JUR1809,2,2WA,,AT,ANA PAULA SANTORO P DE C ALMEIDA
712130,20071,CTC1002,2,33R,8.9,AP,JOSE TAVARES ARARUNA JUNIOR
712130,20071,FIS1100,4,33R,1.4,RM,WALDEMAR MONTEIRO DA SILVA JUNIOR
712130,20071,MAT1003,5,33R,0.3,RM,SILVANA MARINI RODRIGUES LOPES
712130,20071,MAT1010,2,33R,0.3,RM,SILVANA MARINI RODRIGUES LOPES
712130,20071,MEC1400,4,33R,6.3,AP,JOSE LUIS MENEGOTTO
712130,20082,FIL1304,4,13A,5.5,AP,LUIZ CARLOS PINHEIRO DIAS PEREIRA
712130,20082,FIS1100,4,33W,3.5,RM,WALDEMAR MONTEIRO DA SILVA JUNIOR
712130,20082,INF1001,4,33C,,CL,SERGIO LIFSCHITZ
712130,20082,INF1001,4,33G,,CD,PAULA SALGADO LUCENA RODRIGUES
712130,20082,LET1920,2,13H,6.4,AP,TANIA CONCEICAO PEREIRA
712130,20082,MAT1005,6,33M,1.8,RM,LUCIANA ARRUDA DE OLIVEIRA FREIRE
712130,20082,QUI1720,4,33B,,CL,PERCIO AUGUSTO MARDINI FARIAS
712130,20091,CRE1100,4,4TC,,AT,GERALDO LUIZ CAMPOS C DE OLIVEIRA
712130,20091,FIS1025,4,33A,,AT,CELIA BEATRIZ ANTENEODO DE PORTO
712130,20091,MAT1157,6,33W,,AT,LUCIANA ARRUDA DE OLIVEIRA FREIRE
712130,20091,QUI1709,2,33Y,,AT,ANGELA DE LUCA REBELLO WAGENER
712130,20091,QUI1720,4,33A,,LT,TATIANA DILLENBURG SAINT PIERRE
712130,20092,CRE1100,4,7TG,,CL,ROBERTO TEIXEIRA CORREA
712130,20092,FIS1033,4,33D,0.3,RM,ANTONIO CARLOS OLIVEIRA BRUNO
712130,20092,FIS1034,2,33C,1.8,RM,RENATO BARBOSA DE OLIVEIRA
712130,20092,INF1005,4,33G,0.4,RM,RUBENS NASCIMENTO MELO
712130,20092,MAT1161,6,33E,0.3,RM,TANIA MARIA BOFFONI SIMOES DE FARIA
712130,20092,MAT1161,6,33I,,CJ,HELIO CORTES VIEIRA LOPES
810491,20081,CTC1002,2,33G,7.5,AP,GEIZA MARIA HAMAZAKI DA SILVA
810491,20081,FIS1031,4,33F,1.2,RM,WELLES ANTONIO MARTINEZ MORGADO
810491,20081,FIS1032,2,33F,8.4,AP,ANTONIO CARLOS OLIVEIRA BRUNO
810491,20081,MAT1161,6,33F,0.9,RM,MARCOS CRAIZER
810491,20081,MAT1200,4,33F,,CL,LORENZO JUSTINIANO DIAZ CASADO
810491,20081,MEC1400,4,33F,1.3,RM,JOSE LUIS MENEGOTTO
810491,20082,FIS1031,4,33B,3.5,RM,DANIEL ACOSTA AVALOS
810491,20082,FIS1031,4,33C,,CD,ANTONIO CARLOS OLIVEIRA BRUNO
810491,20082,INF1001,4,33F,8.4,AP,GEIZA MARIA HAMAZAKI DA SILVA
810491,20082,MAT1161,6,33B,0.6,RM,SINESIO PESCO
810491,20082,MAT1161,6,33E,,CD,TANIA MARIA BOFFONI SIMOES DE FARIA
810491,20082,PSI1828,8,1EA,,CL,NORMA MOREIRA SALGADO FRANCO
810491,20091,CRE1100,4,7TA,,CL,MARIVANI DE OLIVEIRA DE A PEREIRA
810491,20091,FIL1304,4,13A,0,RM,LUIZ CARLOS PINHEIRO DIAS PEREIRA
810491,20091,INF1007,4,33D,5.5,AP,CLAUDIA FERLIN
810491,20091,INF1403,4,3WD,0,RF,ALBERTO BARBOSA RAPOSO
810491,20091,LET1920,2,13A,,CL,SANDRA PEREIRA BERNARDO
810491,20101,INF1008,2,3WA,7.7,AP,LUIZ FERNANDO BESSA SEIBEL
810491,20101,INF1009,4,3WA,0.8,RM,EDWARD HERMANN HAEUSLER
810491,20101,INF1010,4,3WB,4.1,RM,LUIZ FERNANDO BESSA SEIBEL
810491,20101,INF1012,2,3WB,,CJ,ARES
810491,20101,INF1018,4,3WA,0,RM,LUIZ FERNANDO BESSA SEIBEL
810491,20101,INF1403,4,3WA,,CL,CLARISSE SIECKENIUS DE SOUZA
810491,20101,MAT1161,6,33W,3.2,RM,ALEX LAIER BORDIGNON
813812,20081,CRE1100,4,7TX,9.7,AP,SOLANGE MARTINS JORDAO
813812,20081,HIS1605,4,2HX,8.7,AP,LAIANA LANNES DE OLIVEIRA
813812,20081,JUR1001,4,2HX,6,AP,CARLOS NELSON DE PAULA KONDER
813812,20081,JUR1004,2,2HX,6.8,AP,MARCUS EDUARDO DE CARVALHO DANTAS
813812,20081,JUR1830,6,2HX,7.4,AP,MARCUS EDUARDO DE CARVALHO DANTAS
813812,20081,SOC1205,4,2HX,9.5,AP,CARLOS EDUARDO REBELLO DE MENDONCA
813812,20082,CRE1116,4,7TA,10,AP,SOLANGE MARTINS JORDAO
813812,20082,FIL1000,4,1HA,8.2,AP,EDGAR DE BRITO LYRA NETTO
813812,20082,JUR1003,2,2HB,,CD,TELMA DA GRACA DE LIMA LAGE
813812,20082,JUR1003,2,2HX,,CJ,PAULO ROBERTO SOARES MENDONCA
813812,20082,JUR1029,2,2HC,7.5,AP,ADRIANA RIBEIRO RICE GEISLER
813812,20082,JUR1029,2,2HX,,CJ,ADRIANA RIBEIRO RICE GEISLER
813812,20082,JUR1032,2,2HA,7.2,AP,TELMA DA GRACA DE LIMA LAGE
813812,20082,JUR1032,2,2HX,,CJ,CELSO DE ALBUQUERQUE SILVA
813812,20082,JUR1036,2,2HA,8.5,AP,ROSANGELA LUNARDELLI CAVALLAZZI
813812,20082,JUR1036,2,2HX,,CJ,NOEL STRUCHINER
813812,20082,JUR1430,2,2HX,5.1,AP,FRANCISCO DE GUIMARAENS
813812,20082,JUR1831,6,2HA,4.2,RM,VLADIMIR MUCURY CARDOSO
813812,20082,JUR1831,6,2HX,,CJ,CARLOS NELSON DE PAULA KONDER
813812,20082,SOC1101,4,2HB,8.1,AP,APARECIDA MARIA ABRANCHES
813812,20082,SOC1101,4,2HX,,CJ,JOSE MAURO DE FREITAS JUNIOR
813812,20091,ECO1115,4,2HA,6,AP,MERIDA ALBERTA HERASME MEDINA
813812,20091,JUR1003,2,2HB,7.3,AP,PAULO ROBERTO SOARES MENDONCA
813812,20091,JUR1131,4,2HB,,CL,CARLOS RODOLFO F TIGRE MAIA
