matrícula,curso
0712240,CCP
0712130,CCP
0810491,CCP
0813812,CCP
0820296,CCP
0820290,CCP
0820156,CCP
0910523,CCP
0910400,CCP
0910303,CCP
0911937,CCP
0911687,CCP
0911551,CCP
0911443,CCP
0911211,CCP
0911177,CCP
0911155,CCP
0911141,CCP
0911066,CCP
0912979,CCP
0912926,CCP
0912879,CCP
0912006,CCP
0913852,CCP
0913270,CCP
0921922,CCP
0921422,CCP
0921398,CCP
0921350,CCP
0921193,CCP
1010726,CCP
1010559,CCP
1010522,CCP
1010351,CCP
1010344,CCP
1010131,CCP
1010077,CCP
1011989,CCP
1011789,CCP
1011775,CCP
1011625,CCP
1011618,CCP
1011562,CCP
1011539,CCP
1011533,CCP
1011474,CCP
1012622,CCP
1012039,CCP
1013890,CCP
1013853,CCP
1013722,CCP
1013688,CCP
1013471,CCP
1020234,CCP
1021435,CCP
1021414,CCP
1021348,CCP
1022871,CCP
1110746,CCP
1110744,CCP
1110573,CCP
1110522,CCP
1110350,CCP
1110318,CCP
1110235,CCP
1110210,CCP
1110176,CCP
1110147,CCP
1110027,CCP
1111974,CCP
1111897,CCP
1111844,CCP
1111747,CCP
1111606,CCP
1112741,CCP
1112385,CCP
1113796,CCP
1113740,CCP
1113432,CCP
1113346,CCP
1113225,CCP
1113186,CCP
1113154,CCP
1120625,CCP
1121438,CCP
1121435,CCP
1121426,CCP
1121401,CCP
1121397,CCP
1121372,CCP
1121363,CCP
1121290,CCP
1210488,CCP
1210485,CCP
1210414,CCP
1210317,CCP
1210288,CCP
1210161,CCP
1210118,CCP
1211944,CCP
1211933,CCP
1211448,CCP
1211231,CCP
1211224,CCP
1211194,CCP
1212768,CCP
1212490,CCP
1212439,CCP
1212014,CCP
1213905,CCP
1220533,CCP
1221592,CCP
1221559,CCP
1221547,CCP
1221541,CCP
1221536,CCP
1221524,CCP
1221492,CCP
1221465,CCP
1221459,CCP
1221223,CCP
1221191,CCP
1221153,CCP
1221053,CCP
1221037,CCP
1310513,CCP
1310446,CCP
1310423,CCP
1310369,CCP
1310289,CCP
1310240,CCP
1310209,CCP
1310155,CCP
1310058,CCP
1310044,CCP
1310033,CCP
1311929,CCP
1311877,CCP
1311837,CCP
1311835,CCP
1311711,CCP
1311689,CCP
1311665,CCP
1311649,CCP
1311580,CCP
1312930,CCP
1312926,CCP
1312884,CCP
1312764,CCP
1313740,CCP
1313550,CCP
1320391,CCP
1321623,CCP
1321518,CCP
1321401,CCP
1321126,CCP
1321121,CCP
1321119,CCP
1321118,CCP
1321103,CCP
1321101,CCP
1321074,CCP
1321073,CCP
1321070,CCP
1321064,CCP
1321061,CCP
1321058,CCP
1321051,CCP
1321040,CCP
1321034,CCP
1322991,CCP
1410613,CCP
1410608,CCP
1410601,CCP
1410469,CCP
1410376,CCP
1410374,CCP
1410312,CCP
1410256,CCP
1410188,CCP
1410177,CCP
1410113,CCP
1410103,CCP
1410073,CCP
1410037,CCP
1410005,CCP
1411970,CCP
1411950,CCP
1411948,CCP
1411922,CCP
1411898,CCP
1411862,CCP
1411817,CCP
1411811,CCP
1411792,CCP
1411512,CCP
1411195,CCP
1412984,CCP
1412877,CCP
1412154,CCP
1413598,CCP
1413562,CCP
1421563,CCP
1421554,CCP
1421552,CCP
1421499,CCP
1421481,CCP
1421473,CCP
1421464,CCP
1421460,CCP
1421457,CCP
1421451,CCP
1421286,CCP
1421231,CCP
0711079,CEG
0711017,CEG
0712740,CEG
0712440,CEG
0712435,CEG
0712129,CEG
0713946,CEG
0713800,CEG
0713775,CEG
0713537,CEG
0713360,CEG
0720474,CEG
0720371,CEG
0810332,CEG
0810094,CEG
0810051,CEG
0811634,CEG
0811562,CEG
0811262,CEG
0811174,CEG
0812619,CEG
0812597,CEG
0812118,CEG
0813802,CEG
0813626,CEG
0813545,CEG
0820233,CEG
0820194,CEG
0821903,CEG
0821850,CEG
0910680,CEG
0910582,CEG
0910510,CEG
0910277,CEG
0911339,CEG
0912963,CEG
0912932,CEG
0912414,CEG
0912412,CEG
0912015,CEG
0913973,CEG
0913863,CEG
0913854,CEG
0913436,CEG
0913338,CEG
0913308,CEG
0913185,CEG
0920557,CEG
0920278,CEG
0920248,CEG
0920203,CEG
0921730,CEG
0921326,CEG
0921158,CEG
0921152,CEG
1010606,CEG
1010404,CEG
1010308,CEG
1011835,CEG
1011791,CEG
1011674,CEG
1012505,CEG
1012498,CEG
1012393,CEG
1012087,CEG
1013887,CEG
1013874,CEG
1013861,CEG
1013860,CEG
1013851,CEG
1013813,CEG
1013586,CEG
1013524,CEG
1013479,CEG
1020470,CEG
1020240,CEG
1020232,CEG
1020120,CEG
1020076,CEG
1021941,CEG
1021833,CEG
1021799,CEG
1021790,CEG
1021638,CEG
1021411,CEG
1021323,CEG
1021067,CEG
1110662,CEG
1110492,CEG
1110256,CEG
1110135,CEG
1111987,CEG
1111920,CEG
1111826,CEG
1111626,CEG
1111573,CEG
1111523,CEG
1111486,CEG
1112902,CEG
1112828,CEG
1112731,CEG
1112648,CEG
1112643,CEG
1112477,CEG
1112036,CEG
1112014,CEG
1113633,CEG
1113612,CEG
1113342,CEG
1120545,CEG
1120328,CEG
1120105,CEG
1120035,CEG
1121900,CEG
1121803,CEG
1121121,CEG
1121052,CEG
1122997,CEG
1210426,CEG
1210417,CEG
1210413,CEG
1210182,CEG
1210177,CEG
1210006,CEG
1211374,CEG
1211211,CEG
1211028,CEG
1212957,CEG
1212914,CEG
1212381,CEG
1212015,CEG
1213941,CEG
1213756,CEG
1220442,CEG
1220323,CEG
1220319,CEG
1220152,CEG
1220040,CEG
1221992,CEG
1221983,CEG
1221979,CEG
1221726,CEG
1221225,CEG
1310648,CEG
1310609,CEG
1310571,CEG
1310548,CEG
1310519,CEG
1310307,CEG
1310054,CEG
1311996,CEG
1311838,CEG
1311794,CEG
1311708,CEG
1311645,CEG
1311583,CEG
1311533,CEG
1311207,CEG
1311187,CEG
1311164,CEG
1311046,CEG
1312989,CEG
1312986,CEG
1312936,CEG
1312906,CEG
1312320,CEG
1312318,CEG
1312295,CEG
1312262,CEG
1312159,CEG
1313940,CEG
1313930,CEG
1313906,CEG
1313802,CEG
1313751,CEG
1313743,CEG
1313597,CEG
1320342,CEG
1320248,CEG
1320244,CEG
1321794,CEG
1321771,CEG
1321765,CEG
1321663,CEG
1321560,CEG
1321559,CEG
1321558,CEG
1321557,CEG
1321417,CEG
1321110,CEG
1410543,CEG
1410413,CEG
1410270,CEG
1410007,CEG
1411651,CEG
1411602,CEG
1411540,CEG
1411514,CEG
1411496,CEG
1411313,CEG
1411285,CEG
1411283,CEG
1412966,CEG
1412839,CEG
1412157,CEG
1413878,CEG
1413849,CEG
1413748,CEG
1413745,CEG
1413723,CEG
1413693,CEG
1413616,CEG
1413613,CEG
1420868,CEG
1420843,CEG
1420841,CEG
1420666,CEG
1420527,CEG
1420474,CEG
1420450,CEG
1420433,CEG
1420373,CEG
1421889,CEG
1421813,CEG
1421742,CEG
1421297,CEG
1421256,CEG
1421247,CEG
1421112,CEG
0710739,CSI
0710692,CSI
0711474,CSI
0711414,CSI
0711040,CSI
0711033,CSI
0712855,CSI
0712635,CSI
0712614,CSI
0713715,CSI
0713658,CSI
0713596,CSI
0713556,CSI
0721935,CSI
0721930,CSI
0721928,CSI
0721925,CSI
0721542,CSI
0721502,CSI
0721500,CSI
0721479,CSI
0721444,CSI
0721431,CSI
0721419,CSI
0721418,CSI
0721407,CSI
0721296,CSI
0721242,CSI
0810770,CSI
0810768,CSI
0810760,CSI
0810566,CSI
0810395,CSI
0810091,CSI
0810087,CSI
0810081,CSI
0810029,CSI
0811940,CSI
0811781,CSI
0811663,CSI
0811107,CSI
0811087,CSI
0811059,CSI
0812497,CSI
0812485,CSI
0813990,CSI
0813521,CSI
0820722,CSI
0820707,CSI
0820598,CSI
0820593,CSI
0820592,CSI
0820589,CSI
0820555,CSI
0820360,CSI
0820306,CSI
0820302,CSI
0820169,CSI
0821978,CSI
0821977,CSI
0821945,CSI
0821724,CSI
0821443,CSI
0821440,CSI
0821419,CSI
0821340,CSI
0821300,CSI
0821246,CSI
0821243,CSI
0910683,CSI
0910361,CSI
0910352,CSI
0910324,CSI
0910143,CSI
0911874,CSI
0911769,CSI
0911742,CSI
0911558,CSI
0911134,CSI
0913756,CSI
0913719,CSI
0921947,CSI
0921769,CSI
0921406,CSI
0921322,CSI
0921281,CSI
0921231,CSI
0921180,CSI
0921149,CSI
0921104,CSI
0921019,CSI
1010689,CSI
1010238,CSI
1011858,CSI
1011845,CSI
1011822,CSI
1011787,CSI
1011779,CSI
1011710,CSI
1012470,CSI
1013830,CSI
1013542,CSI
1020118,CSI
1021428,CSI
1021405,CSI
1021304,CSI
1021105,CSI
1021014,CSI
1110712,CSI
1110677,CSI
1110563,CSI
1110521,CSI
1110419,CSI
1111939,CSI
1111937,CSI
1111922,CSI
1111919,CSI
1111715,CSI
1111521,CSI
1112723,CSI
1112711,CSI
1112515,CSI
1112423,CSI
1113974,CSI
1120602,CSI
1120600,CSI
1121407,CSI
1121359,CSI
1121346,CSI
1121308,CSI
1121307,CSI
1121298,CSI
1121135,CSI
1121113,CSI
1122976,CSI
1210707,CSI
1210674,CSI
1210536,CSI
1211963,CSI
1212793,CSI
1212530,CSI
1212028,CSI
1213932,CSI
1213889,CSI
1221578,CSI
1221495,CSI
1221490,CSI
1221474,CSI
1221467,CSI
1221224,CSI
1221161,CSI
1221158,CSI
1221138,CSI
1221048,CSI
1221035,CSI
1310098,CSI
1311836,CSI
1311713,CSI
1311215,CSI
1312964,CSI
1320385,CSI
1320384,CSI
1321533,CSI
1321507,CSI
1321435,CSI
1321361,CSI
1321136,CSI
1321104,CSI
1321068,CSI
1321032,CSI
1321021,CSI
1410507,CSI
1410421,CSI
1410100,CSI
1410031,CSI
1411881,CSI
1411772,CSI
1411771,CSI
1411712,CSI
1412853,CSI
1413921,CSI
1413705,CSI
1413643,CSI
1413573,CSI
1421577,CSI
1421504,CSI
1421484,CSI
1421458,CSI
1421318,CSI
1421290,CSI
1421226,CSI
1421182,CSI
1421022,CSI
